,date,id,link,retweet,text,author
3738,27 May 2015,603631285777596416,/realDonaldTrump/status/603631285777596417,False,"In business, you make decisions that are in your best interests. Time for the US gov't to do the same. Let’s Make America Great Again!",DonaldTrump
3739,27 May 2015,603601573034467328,/realDonaldTrump/status/603601573034467328,False,"Resolve never to quit, never to give up, no matter what the situation.
 -- Jack Nicklaus",DonaldTrump
3740,27 May 2015,603543448545812480,/realDonaldTrump/status/603543448545812480,False,"A quote from the late, great golfer, Sam Snead: ""Practice puts brains in your muscles!"" THIS IS TRUE ALSO IN LIFE.",DonaldTrump
3741,27 May 2015,603427160922128384,/realDonaldTrump/status/603427160922128384,True,"""@ashbakali: ""Sheer persistence is the difference between success and failure."" Donald Trump""",DonaldTrump
3742,27 May 2015,603426547060625408,/realDonaldTrump/status/603426547060625408,True,"""@BlueWaterDays: Would rather have a dynamic, experienced businessman than a corrupt professional politician in the oval office DonaldTrump""",DonaldTrump
3743,26 May 2015,603421428759801856,/realDonaldTrump/status/603421428759801856,True,"""@Mitnasty33: @realDonaldTrump ""Politicians and diapers must be changed often, and for the same reason."" - Mark Twain""  So true.",DonaldTrump
3744,26 May 2015,603364305115971584,/realDonaldTrump/status/603364305115971585,True,"""@nitya_lal: @realDonaldTrump You should be president! I believe in you #Trump2016""  Thanks.",DonaldTrump
3745,26 May 2015,603362659824705536,/realDonaldTrump/status/603362659824705537,False,Will be doing @greta interview  tomorrow. So much to talk about!,DonaldTrump
3746,26 May 2015,603361138160599040,/realDonaldTrump/status/603361138160599040,True,"""@bfree3423: @TrumpFerryPoint honored to be at the Grand Opening Ceremony of Trump National Ferry Point today  pic.twitter.com/3OkinZBggi""",DonaldTrump
3747,26 May 2015,603360532150788096,/realDonaldTrump/status/603360532150788096,True,"""@DNorrell: @Judgenap @freedomlives999 DonaldTrump trump is the only non politician who will actually do what he says. All the rest all talk",DonaldTrump
3748,26 May 2015,603360207121559552,/realDonaldTrump/status/603360207121559552,True,"""@davevin73: @realDonaldTrump You should be president, I signed up for Twitter just to tell you this. A lot of Americans feel the same way""",DonaldTrump
3749,26 May 2015,603360147319201792,/realDonaldTrump/status/603360147319201792,True,"""@2014_vince: I am praying sir u wil b president in 2016..end the scam of foreign aid..make other countries PAY for help..you INSPIRE...""",DonaldTrump
3750,26 May 2015,603357923314638848,/realDonaldTrump/status/603357923314638848,True,"""@TrumpFerryPoint: Two great families come together to create a masterpiece. #GrandOpening DonaldTrump @jacknicklaus pic.twitter.com/R1AVPqho5a""",DonaldTrump
3751,26 May 2015,603357617600253952,/realDonaldTrump/status/603357617600253955,True,"""@therealtommydel:1 & only POTUS candidate 2 support Tom Brady deserves the White House. Clear judgment & common sense for USA ! #FreeBrady""",DonaldTrump
3752,26 May 2015,603309709236510720,/realDonaldTrump/status/603309709236510720,False,".@AnnCoulter's new book-- ""Adios, America! The Left's Plan to Turn Our Country into a Third World Hellhole""-- is a great read. Good job!",DonaldTrump
3753,26 May 2015,603290019676168192,/realDonaldTrump/status/603290019676168193,False,“Everyone's dream can come true if you just stick to it and work hard.” - @serenawilliams,DonaldTrump
3754,26 May 2015,603279849814433792,/realDonaldTrump/status/603279849814433792,False,Entrepreneurs: Realize that persistence can go a long way. Being stubborn is often an attribute.,DonaldTrump
3755,26 May 2015,603279413464190976,/realDonaldTrump/status/603279413464190977,False,Entrepreneurs: Problems are a mind exercise. Enjoy the challenge.,DonaldTrump
